name,year,p,E,baseline,Y,Ygross,damageFraction,abatementFraction,CE,temp,SSP,damage,TCRE,cost_level,r,gamma,beta,elasmu,on_utility,useBaselineCO2Intensity,maxReductParam,minEmissions,p_rel
CBA SSP2 damageHowardTotal 0.00062 p50 0.001,2020.0,92.5589652221182,32.47801205,43.47801205,101.36673607641828,101.6022031,0.0023175385611468417,0.0029164030163658324,162.39006024999998,1.1969058373550001,SSP2,damageHowardTotal,0.00062,p50,0.001,2442.3716272551083,2.0,0.2,True,True,2.2,-20,0.03789716691318668
CBA SSP2 damageHowardTotal 0.00062 p50 0.001,2025.0,380.39333917875183,21.583707241067987,46.476228195000004,122.63207753627101,123.12089842329853,0.003970251137600597,0.02417135321595229,270.3085964553399,1.263815329802311,SSP2,damageHowardTotal,0.00062,p50,0.001,2442.3716272551083,2.0,0.2,True,True,2.2,-20,0.15574752627071006
CBA SSP2 damageHowardTotal 0.00062 p50 0.001,2030.0,739.8683737153124,10.583707241067987,49.474444340000005,143.46276179540246,144.15666144389826,0.004813510812095545,0.06505334585055257,323.22713266067984,1.2966248222496215,SSP2,damageHowardTotal,0.00062,p50,0.001,2442.3716272551083,2.0,0.2,True,True,2.2,-20,0.30293030162114326
CBA SSP2 damageHowardTotal 0.00062 p50 0.001,2035.0,914.0202325880322,4.064749579850564,51.19409131500001,163.5823313147384,164.4280033745743,0.005143114569781762,0.08568046297473735,343.55088055993264,1.3092255459471582,SSP2,damageHowardTotal,0.00062,p50,0.001,2442.3716272551083,2.0,0.2,True,True,2.2,-20,0.37423470793233293
CBA SSP2 damageHowardTotal 0.00062 p50 0.001,2040.0,910.2943496247385,2.096370410088637,52.913738290000005,183.29881646376916,184.2781352834232,0.005314351689894319,0.08159076249089398,354.03273261037583,1.315724294218433,SSP2,damageHowardTotal,0.00062,p50,0.001,2442.3716272551083,2.0,0.2,True,True,2.2,-20,0.37270918948881865
CBA SSP2 damageHowardTotal 0.00062 p50 0.001,2045.0,897.6922374765153,0.6445451755259456,54.45241879,204.39582857216507,205.49877549186496,0.005367170276610956,0.07612379799595329,357.25545848800556,1.3177223842625636,SSP2,damageHowardTotal,0.00062,p50,0.001,2442.3716272551083,2.0,0.2,True,True,2.2,-20,0.36754940462741886
CBA SSP2 damageHowardTotal 0.00062 p50 0.001,2050.0,886.2075524437226,-0.633139463419481,55.99109929,225.88562713314886,227.0926896494645,0.0053152856579348085,0.07146485334690487,354.08976117090816,1.3157596519259631,SSP2,damageHowardTotal,0.00062,p50,0.001,2442.3716272551083,2.0,0.2,True,True,2.2,-20,0.36284713700170956
CBA SSP2 damageHowardTotal 0.00062 p50 0.001,2055.0,879.280762727028,-1.8752866280578073,56.806347175,249.29366134166534,250.58720833051933,0.005162063129526677,0.06659530502482044,344.71332803061915,1.309946263378984,SSP2,damageHowardTotal,0.00062,p50,0.001,2442.3716272551083,2.0,0.2,True,True,2.2,-20,0.3600110453769148
CBA SSP2 damageHowardTotal 0.00062 p50 0.001,2060.0,867.4244147484292,-2.8226264094880342,57.621595060000004,272.98734277018207,274.3405870412337,0.0049327162475168145,0.061856018066157134,330.600195983179,1.301196121509571,SSP2,damageHowardTotal,0.00062,p50,0.001,2442.3716272551083,2.0,0.2,True,True,2.2,-20,0.35515660478061467
CBA SSP2 damageHowardTotal 0.00062 p50 0.001,2065.0,855.1741520718089,-3.7056777307748225,59.244130865,300.12381617320557,301.52105038525065,0.004633952456254248,0.05785739681862368,312.0718073293049,1.2897085205441692,SSP2,damageHowardTotal,0.00062,p50,0.001,2442.3716272551083,2.0,0.2,True,True,2.2,-20,0.35014088049856185
CBA SSP2 damageHowardTotal 0.00062 p50 0.001,2070.0,843.8510447500394,-4.557269771084949,60.86666667,327.467044269287,328.87137868999565,0.004270163084129206,0.05448245211764914,289.2854584738801,1.2755809842538057,SSP2,damageHowardTotal,0.00062,p50,0.001,2442.3716272551083,2.0,0.2,True,True,2.2,-20,0.34550476894395166
CBA SSP2 damageHowardTotal 0.00062 p50 0.001,2075.0,827.853490243679,-5.184800350811279,62.654864915,357.4547188355374,358.84025592120923,0.003861152874598565,0.05086766970641811,263.3614567198237,1.2595081031662907,SSP2,damageHowardTotal,0.00062,p50,0.001,2442.3716272551083,2.0,0.2,True,True,2.2,-20,0.3389547606127709
CBA SSP2 damageHowardTotal 0.00062 p50 0.001,2080.0,811.1219872970188,-5.714750611378433,64.44306316,387.6209320583766,388.94971865738324,0.003416345443296581,0.04762361024175591,234.78770366293153,1.2417923762710177,SSP2,damageHowardTotal,0.00062,p50,0.001,2442.3716272551083,2.0,0.2,True,True,2.2,-20,0.3321042458262623
CBA SSP2 damageHowardTotal 0.00062 p50 0.001,2085.0,794.0031101046281,-6.149358563576786,66.14006739,420.6274530774356,421.86975322891396,0.0029447480933867693,0.044351621742631714,204.04091084504762,1.2227293647239297,SSP2,damageHowardTotal,0.00062,p50,0.001,2442.3716272551083,2.0,0.2,True,True,2.2,-20,0.32509512526436407
CBA SSP2 damageHowardTotal 0.00062 p50 0.001,2090.0,775.5941855132247,-6.452714982513342,67.83707162,453.79236635178495,454.91041355244147,0.0024577305054979195,0.04134766840472359,171.77733593248092,1.2027259482781383,SSP2,damageHowardTotal,0.00062,p50,0.001,2442.3716272551083,2.0,0.2,True,True,2.2,-20,0.317557810145742
CBA SSP2 damageHowardTotal 0.00062 p50 0.001,2095.0,754.2760729200794,-6.60209712204118,70.1648392,489.96854147986045,490.934579262941,0.001967752576180072,0.03855451283780417,138.76685032227502,1.1822594471998107,SSP2,damageHowardTotal,0.00062,p50,0.001,2442.3716272551083,2.0,0.2,True,True,2.2,-20,0.3088293626174255
CBA SSP2 damageHowardTotal 0.00062 p50 0.001,2100.0,731.0095292034816,-6.558221938219638,72.49260678,526.2672381533682,527.0522068417274,0.0014893566105396647,0.035884755591314176,105.97574063117683,1.1619289591913298,SSP2,damageHowardTotal,0.00062,p50,0.001,2442.3716272551083,2.0,0.2,True,True,2.2,-20,0.2993031531507907
CBA SSP2 damageHowardTotal 0.00062 p50 0.001,2105.0,703.5033583779098,-6.1664536678334345,74.82037436,562.6630724947723,563.2528589659489,0.0010471078163000452,0.03314277586760513,75.14347229200966,1.142812952821046,SSP2,damageHowardTotal,0.00062,p50,0.001,2442.3716272551083,2.0,0.2,True,True,2.2,-20,0.28804107881344465
