withlag,SSP,temperature,damage
0,SSP1,1.01,0.0
0,SSP1,1.0348427824242,0.0
0,SSP1,1.05984578711708,4.4419286405750213e-05
0,SSP1,1.08500901407864,0.00013292796745889568
0,SSP1,1.11033246330888,0.00026514379240727415
0,SSP1,1.1358161348078,0.0004406971593948761
0,SSP1,1.1614600285754,0.0006592795899162951
0,SSP1,1.18726414461168,0.0009206755969095592
0,SSP1,1.21322848291664,0.001224779877747828
0,SSP1,1.23935304349028,0.001571602807064476
0,SSP1,1.2656378263326,0.001961267462752714
0,SSP1,1.2920828314436,0.002389025651846177
0,SSP1,1.3185976028017,0.00285963436201353
0,SSP1,1.3451821404069,0.003373320577525263
0,SSP1,1.3718364442592001,0.003930395904553796
0,SSP1,1.3985605143586,0.004531239199485171
0,SSP1,1.4253543507051,0.005176280625567298
0,SSP1,1.4522179532987,0.005865987808644002
0,SSP1,1.4791513221394,0.00660085430367352
0,SSP1,1.5061544572272,0.007381390298461854
0,SSP1,1.5332273585621001,0.008208115325899712
0,SSP1,1.5603700261441,0.009078848441071541
0,SSP1,1.5874306219527399,0.009996738865949428
0,SSP1,1.61440914598802,0.010961952782660767
0,SSP1,1.64130559824994,0.01197465301237255
0,SSP1,1.6681199787385,0.013034996207671457
0,SSP1,1.6948522874537,0.014143130752896083
0,SSP1,1.72150252439554,0.015299195221901263
0,SSP1,1.7480706895640201,0.016503317268033557
0,SSP1,1.7745567829591402,0.017755612844432722
0,SSP1,1.8009608045809,0.01905618567322942
0,SSP1,1.8272827544293002,0.02040331259887984
0,SSP1,1.85355182885304,0.021799152255135734
0,SSP1,1.87976802785212,0.02324377078242934
0,SSP1,1.9059313514265401,0.024737231981762253
0,SSP1,1.9320417995763002,0.026279595973592418
0,SSP1,1.9580993723014002,0.027870918050689752
0,SSP1,1.9841040696018402,0.029511247693060794
0,SSP1,2.01005589147762,0.031200627718775298
0,SSP1,2.03595483792874,0.03293909354914937
0,SSP1,2.0618009089552,0.034726672570539074
0,SSP1,2.087594104557,0.03656035848641159
0,SSP1,2.11323946755658,0.03844341951854924
0,SSP1,2.1387369979539397,0.04037552667174049
0,SSP1,2.16408669574908,0.04235635548191352
0,SSP1,2.189288560942,0.04438558342272847
0,SSP1,2.2143425935327,0.046462887715310375
0,SSP1,2.2392487935211802,0.04858794347861517
0,SSP1,2.26400716090744,0.050760422168806496
0,SSP1,2.28861769569148,0.05297999026481959
0,SSP1,2.3130803978733,0.05524630816439213
0,SSP1,2.3373952674528997,0.05755885891099388
0,SSP1,2.3613489722994396,0.059918336067324995
0,SSP1,2.38494151241292,0.062323529035640535
0,SSP1,2.4081728877933397,0.06477326666443495
0,SSP1,2.4310430984407,0.06726640985756305
0,SSP1,2.453552144355,0.06980184543300183
0,SSP1,2.47570002553624,0.07237848101546351
0,SSP1,2.49748674198442,0.0749952407897323
0,SSP1,2.51891229369954,0.07765106197466531
0,SSP1,2.5399766806816,0.08034489190366068
0,SSP1,2.5606799029306,0.08307498480686193
0,SSP1,2.5810871446165002,0.08584196428103374
0,SSP1,2.6011984057393,0.08864476160423007
0,SSP1,2.6210136862990003,0.09148234256953058
0,SSP1,2.6405329862956,0.09435370149595546
0,SSP1,2.6597563057290996,0.09725785622879801
0,SSP1,2.6786836445995,0.1001938439647676
0,SSP1,2.6973150029068,0.1031607177685061
0,SSP1,2.7156503806509997,0.10615754367144659
0,SSP1,2.7336897778321,0.1091833982632584
