SSP,rho,beta,cost_percentile,gamma
,0.82,2.0,p50,2442.371627255108
,0.82,2.0,p05,954.9607885256007
,0.82,2.0,p95,5996.461435341768
,0.82,3.0,p50,3715.7245838179556
,0.82,3.0,p05,1453.368302858632
,0.82,3.0,p95,9147.249108279679
,0.65,2.0,p05,5497.302409195785
,0.65,2.0,p50,13921.32483587471
,0.65,2.0,p95,33256.35702483456
,0.65,3.0,p05,9028.7496029838
,0.65,3.0,p50,22813.9608852118
,0.65,3.0,p95,54527.13756868787
,0.95,2.0,p05,682.2796723266232
,0.95,2.0,p50,1718.0790280044594
,0.95,2.0,p95,4053.7893207990855
,0.95,3.0,p05,1096.4115490070174
,0.95,3.0,p50,2763.354413159253
,0.95,3.0,p95,6511.804706666119
