SSP,beta,rho,best,low,high
SSP1,2.0,0.65,15259.37462371441,6813.009303611221,23860.023882010013
SSP1,2.0,0.82,4776.131969658741,2232.537798384544,7534.616937465953
SSP1,2.0,0.95,2054.4118574161953,1017.741906222384,3454.8802843040535
SSP1,3.0,0.65,22810.559474429523,11981.831192510277,39802.510899265624
SSP1,3.0,0.82,7065.891835539031,3890.5732916359702,12791.916558175732
SSP1,3.0,0.95,3107.6437186410144,1723.82287255331,6238.421421448379
SSP2,2.0,0.65,16660.73244847133,7460.207435254394,26063.556002465222
SSP2,2.0,0.82,4623.897879787203,2159.8838782649445,7284.428517472087
SSP2,2.0,0.95,1915.7917536552154,934.7788242338579,3137.1166248536733
SSP2,3.0,0.65,25087.824487435057,13172.784446750156,43766.21826021902
SSP2,3.0,0.82,6883.4222334595015,3785.371870287502,12414.686210626047
SSP2,3.0,0.95,2875.7218061788917,1598.0258796214516,5558.179047382447
SSP3,2.0,0.65,13798.352086225088,6176.43729488523,21584.538858742646
SSP3,2.0,0.82,3752.699212042617,1753.0612479394226,5910.788101251805
SSP3,2.0,0.95,1533.8128382084442,748.7314554351797,2518.9771121798267
SSP3,3.0,0.65,20797.847213884674,10916.826482658322,36275.75864813579
SSP3,3.0,0.82,5593.221887436219,3075.982550654586,10089.781428787677
SSP3,3.0,0.95,2308.156029674305,1282.6258228167808,4461.069052299689
SSP4,2.0,0.65,14591.671511835453,6520.148155357998,22818.983247509135
SSP4,2.0,0.82,4298.538512419605,2008.057487463784,6770.441820646541
SSP4,2.0,0.95,1801.4867099807266,883.1724498552514,3004.554968373657
SSP4,3.0,0.65,21844.161979586846,11463.790251581786,38096.485952898445
SSP4,3.0,0.82,6361.769932238799,3499.143128537993,11484.334296672725
SSP4,3.0,0.95,2709.1886289955864,1504.1317170306215,5397.170194538424
SSP5,2.0,0.65,21693.900769367247,9730.337241500816,33946.7649351857
SSP5,2.0,0.82,5250.160513125477,2452.6432901994303,8268.961972393698
SSP5,2.0,0.95,2039.5868622328533,990.6993359801534,3287.5032131519283
SSP5,3.0,0.65,32950.54440649815,17308.693326127704,57497.02322188371
SSP5,3.0,0.82,7906.770292328307,4348.322524255507,14263.393619367052
SSP5,3.0,0.95,3087.728421756194,1723.4610042051647,5869.210066657908
