ModelType,Model,Scenario,X-Value,Y-Value
PE,GCAM 3.0,AMPERE2-450-FullTech-OPT,0.196068,0.808674
PE,POLES AMPERE,AMPERE2-550-FullTech-OPT,0.378036,0.813991
GE,REMIND 1.3,AME 3.7 W/m2 NTE,0.362754,0.818115
GE,WITCH_EMF22,EMF22 3.7 OS,0.377808,0.837206
PE,GCAM 3.0,EMF27-550-FullTech,0.228884,0.876369
GE,SGM_EMF22,EMF22 4.5 NTE,0.528204,0.888004
GE,GRAPE ver2011,EMF27-550-LowEI,0.375113,0.914298
GE,MESSAGE V.4,AMPERE2-450-FullTech-OPT,0.199341,0.917023
GE,MERGE_EMF22,EMF22 3.7 OS Pessimistic Growth,0.354918,0.925313
PE,IMAGE 2.4,EMF27-450-FullTech,0.193389,0.927425
GE,MESSAGE V.4,EMF27-550-FullTech,0.25859,0.934158
GE,MESSAGE V.4,LIMITS-500,0.194719,0.939526
GE,WITCH_EMF22,EMF22 3.7 NTE,0.362487,0.954372
GE,GTEMREF32,AME CO2 price $10 (5% p.a.),0.4188,0.991279
GE,REMIND 1.4,ROSE 550 SL Gr,0.414932,1.013844
GE,REMIND 1.4,ROSE 550 FS Gr SL Con,0.382837,1.03607
GE,WITCH_AMPERE,AMPERE2-550-LowEI-OPT,0.471482,1.038381
GE,MERGE_EMF22,EMF22 3.7 NTE Pessimistic Growth,0.340337,1.062717
GE,WITCH_AME,AME 3.7 W/m2 NTE,0.450515,1.102238
GE,WITCH_AME,AME CO2 price $30 (5% p.a.),0.374866,1.106659
GE,MERGE_AME,AME 3.7 W/m2 NTE,0.304299,1.111423
PE,TIMES-VTT-2011,AME CO2 price $30 (5% p.a.),0.232363,1.149116
GE,FARM_3.0,EMF27-550-LowEI,0.480871,1.169313
GE,REMIND 1.4,ROSE 550 HI Pop,0.395418,1.170607
GE,REMIND 1.5,AMPERE2-450-LowEI-OPT,0.241634,1.173462
PE,IMAGE 2.4 EMF22,EMF22 2.6 OS BECCS,0.249068,1.176124
GE,REMIND 1.5,EMF27-550-LowEI,0.327696,1.176659
GE,MESSAGE V.4,EMF27-450-FullTech,0.155079,1.178331
GE,REMIND 1.4,ROSE 550 LO Oil,0.326557,1.192692
PE,MiniCAM_EMF22,EMF22 2.6 OS,0.186112,1.202288
GE,WITCH_ROSE,ROSE 550 LO Fos,0.477213,1.223167
PE,TIAM-WORLD 2012.2,EMF27-550-FullTech,0.348723,1.231235
GE,REMIND 1.4,ROSE 550 HI Gas,0.359794,1.232921
GE,BET 1.5,EMF27-450-LowEI,0.23539,1.242663
