name,year,p,E,baseline,Y,Ygross,damageFraction,abatementFraction,CE,temp,SSP,damage,TCRE,cost_level,r,gamma,beta,elasmu,on_utility,maxReductParam,p_rel
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 2.2 30,2020.0,60.11240802447839,32.47801205,43.47801205,99.80232779297239,101.6022031,0.017714924008646847,0.0019108690902505925,162.39006024999998,1.1969058373550001,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,2.2,0.03857289794060729
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 2.2 30,2025.0,245.68746994561104,21.478012049999997,46.476228195000004,119.28235364371297,122.88188169914105,0.029292585738888814,0.015712359794964548,269.78012049999995,1.2634876747100001,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,2.2,0.1576526047607175
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 2.2 30,2030.0,474.05203063417974,10.478012049999997,49.474444340000005,138.6013330390629,143.61359605599338,0.03490103412615798,0.041783124835394266,322.17018074999993,1.295969512065,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,2.2,0.30418945434266725
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 2.2 30,2035.0,582.1240831881883,4.082971880030125,51.19409131500001,157.76709442401366,163.84227298510882,0.037079432861916596,0.05452917522773082,342.5850401501506,1.3086267248930934,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,2.2,0.37353707142199305
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 2.2 30,2040.0,631.9883586647734,-0.050841109588534245,52.913738290000005,177.0052259923474,183.81603884901205,0.03705233177317633,0.05919673455139989,342.3308346022079,1.308469117453369,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,2.2,0.40553395313162965
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 2.2 30,2045.0,659.8727951331691,-3.2597569528831114,54.45241879,197.6206481608825,204.85477154523406,0.03531342389432302,0.060286466844646724,326.0320498377924,1.2983638708994314,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,2.2,0.4234268234619745
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 2.2 30,2050.0,671.1239009463021,-5.702741463235468,55.99109929,218.8236588248501,226.1194606316724,0.03226525389031639,0.0592830274874355,297.51834252161507,1.2806853723634015,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,2.2,0.43064642704318906
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 2.2 30,2055.0,673.747630444209,-7.575597066638527,56.806347175,242.2672359576637,249.29847497748213,0.02820409960571773,0.05630117575493472,259.64035718842246,1.2572010214568219,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,2.2,0.43233002038893076
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 2.2 30,2060.0,675.7189456814422,-9.3047100234921,57.621595060000004,266.53097737978885,272.8606279495446,0.023197375954607087,0.0536676706220845,213.11680707096195,1.2283564203839965,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,2.2,0.433594972899627
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 2.2 30,2065.0,670.1282204097852,-10.739566302380142,59.244130865,294.7512605545519,299.9686324351151,0.017393058194815687,0.050695282523101855,159.41897555906124,1.195063764846618,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,2.2,0.43000751928722497
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 2.2 30,2070.0,651.5205878425941,-11.430022816654745,60.86666667,323.7929712149441,327.4557389666842,0.011185535374332652,0.04671868114718431,102.26886147578752,1.1596306941149883,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,2.2,0.4180673835395719
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 2.2 30,2075.0,610.2366045450921,-10.714536621555593,62.654864915,355.9322426517962,357.84256999517606,0.005338457477000708,0.04069843331652644,48.69617836800955,1.126415630588166,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,2.2,0.3915762991420242
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 2.2 30,2080.0,542.0580606559006,-7.935788866714841,64.44306316,388.3299774206954,388.71489715894427,0.0009902366517522826,0.03287336823733606,9.017234034435344,1.10181468510135,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,2.2,0.3478275274390823
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 2.2 30,2085.0,438.2327430717171,-1.7710852042075034,66.14006739,422.740873551719,422.74838828685296,1.777590486947561e-05,0.022940098464328863,0.1618080133978268,1.0963243209683067,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,2.2,0.28120495299163983
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 2.2 30,2090.0,405.30949760751713,-0.0080530726306798,67.83707162,457.13938814230204,457.1454921572701,1.3352455777868033e-05,0.019669127796521566,0.1215426502444278,1.0962993564431516,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,2.2,0.26007878239060495
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 2.2 30,2095.0,395.8391842988938,0.030254228053398113,70.1648392,494.24751630652526,494.26232966191657,2.9970634018258724e-05,0.018429258007324544,0.27281379051141835,1.0963931445501172,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,2.2,0.25400187679450326
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 2.2 30,2100.0,387.9829927807235,-0.02198206099674389,72.49260678,531.1224269757741,531.1319322458298,1.789625040138354e-05,0.017423654178667394,0.1629034855276989,1.0963250001610272,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,2.2,0.2489607200085557
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 2.2 30,2105.0,379.52639011259197,0.028039001768859508,74.82037436,567.7875770149766,567.806483603359,3.329759157095352e-05,0.01647363524161687,0.30309849437199643,1.0964119210665106,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,2.2,0.24353429171592642
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 2.2 30,2110.0,372.7327526123061,-0.03891738436753757,77.14814194,604.329395855063,604.3366000863132,1.1920891849155624e-05,0.015709290529926284,0.10851157253430858,1.0962912771749713,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,2.2,0.2391749540258226
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 2.2 30,2115.0,365.33448898832756,0.0010539210720961337,79.010356004,633.5888103727597,633.5967302043111,1.2499798647785942e-05,0.015048619704590779,0.11378117789478925,1.096294544330295,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,2.2,0.23442764016693965
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 2.2 30,2120.0,358.3230646090585,0.04762359036466729,80.872570068,662.7290045930107,662.7546257707039,3.865861767982093e-05,0.014446049341443133,0.3518991297181257,1.0964421774604254,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,2.2,0.22992855310841256
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 2.2 30,2125.0,352.8644955690246,-0.03535451165038485,82.269230616,684.6573435041299,684.6705159102922,1.9239043972447967e-05,0.014031669394874102,0.17512657146620147,1.0963325784743092,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,2.2,0.22642590143627778
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 2.2 30,2130.0,346.7051996732274,0.002059588459883163,83.665891164,706.5010112634599,706.5154032264102,2.0370345620968067e-05,0.013587574955028325,0.18542451376561728,1.0963389631985347,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,2.2,0.22247360772883157
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 2.2 30,2135.0,342.0061657085813,-0.09424322462960627,84.596998196,721.1633029661449,721.1406612396429,-3.139710145187713e-05,0.013298273254682448,-0.2857916093824141,1.096046809202183,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,2.2,0.2194583341190315
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 2.2 30,2140.0,335.86768836497924,0.025233022044226405,85.528105228,735.7336409145149,735.7207389541153,-1.753649138402924e-05,0.012927265375037727,-0.15962649916128208,1.09612503157052,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,2.2,0.21551939924906136
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 2.2 30,2145.0,328.25099483124916,0.3826073704629792,85.993658744,742.9513261352798,743.0944557300837,0.000192612922489524,0.0125271961948799,1.753410353153614,1.0973111144189553,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,2.2,0.21063192340211448
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 2.2 30,2150.0,0.0,85.94312334290304,86.45921226,715.5213379508389,750.4297279546257,0.046517866634805734,0.0,431.4690270676688,1.3637347967819546,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,2.2,0.0
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 500 2,2020.0,478.6688179270367,11.906712271996138,43.47801205,100.93940345981146,101.6022031,0.006523477050356795,0.04773771558174039,59.533561359980695,1.1331348080431882,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,500.0,0.30715195195195194
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 500 2,2025.0,517.9054293382777,8.618863097127681,46.476228195000004,120.92937780226752,122.30217415411556,0.011224627537022767,0.0521589355221809,102.6278768456191,1.1598532836442839,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,500.0,0.33232927984879423
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 500 2,2030.0,552.0911083073087,5.476371540623717,49.474444340000005,140.73999414987009,142.76766014950172,0.014202558180951765,0.0554616761077486,130.0097345487377,1.1768300354202175,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,500.0,0.35426552810831885
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 500 2,2035.0,576.8201880214408,2.593973216336753,51.19409131500001,160.82397395170364,163.37434918531952,0.015610622146827562,0.05588953575543466,142.97960063042146,1.1848713523908614,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,500.0,0.3701336707984259
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 500 2,2040.0,594.0138637527682,0.0887833756908419,52.913738290000005,181.16001784195498,184.0418906844743,0.015658787419544996,0.0554840937117092,143.42351750887568,1.185146580855503,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,500.0,0.38116649947729575
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 500 2,2045.0,611.9677353792155,-2.4094751238201195,54.45241879,202.8715495759851,205.82534422782027,0.014350976372305736,0.05501086999490668,131.37614188977508,1.1776772079716606,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,500.0,0.3926871302529537
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 500 2,2050.0,612.2912958353766,-4.069551067988547,55.99109929,224.99391606683645,227.7586754891027,0.012138986215691018,0.05252885357909367,111.02838654983235,1.1650615996608962,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,500.0,0.39289475235400206
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 500 2,2055.0,610.8408760961299,-5.489764251385039,56.806347175,249.24149529235842,251.54281597367648,0.00914882292467812,0.04924535685250807,83.57956529290715,1.1480433304816025,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,500.0,0.3919640477888111
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 500 2,2060.0,594.4398041941224,-6.039670631891401,57.621595060000004,273.98462197149246,275.59710805855195,0.00585088173972028,0.04473482074168776,53.38121213345015,1.1293203515227392,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,500.0,0.3814398167126732
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 500 2,2065.0,566.809296481332,-5.915247856787939,59.244130865,302.388452073256,303.18051050046506,0.0026124978347109376,0.03973268192594751,23.804972849510452,1.1109830831666965,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,500.0,0.36370988725087844
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 500 2,2070.0,516.634352319265,-4.205376019387969,60.86666667,330.9723182493606,331.07334900639063,0.0003051612500166445,0.03315013791285139,2.7780927525706085,1.0979464175065938,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,500.0,0.33151365582473147
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 500 2,2075.0,444.82713022634994,-0.5451128958753559,62.654864915,361.7929922283688,361.79508003138625,5.770678300057175e-06,0.025382942775528515,0.0525282731938288,1.0962565675293803,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,500.0,0.2854364358261475
CBA SSP2 damageBurkeDiff 0.00062 p05 0.015 500 2,2080.0,425.0793462316112,0.024548818385696544,64.44306316,392.7692775009714,392.7768404427742,1.9255060441654426e-05,0.02283666478118466,0.17527236512231154,1.096332668866376,SSP2,damageBurkeDiff,0.00062,p05,0.015,1558.410470404288,2.0,1.45,True,500.0,0.2727646883181783
