cb,NPV,SSP,rho,beta,cost_level
0.45,0.006972738450105378,,0.82,3.0,p50
0.5,0.005324122723297037,,0.82,3.0,p50
0.55,0.004079487817818693,,0.82,3.0,p50
0.1,0.028385718287281387,,0.82,3.0,p50
0.15,0.022358104807793024,,0.82,3.0,p50
0.2,0.017537387633061806,,0.82,3.0,p50
0.25,0.014020824511621286,,0.82,3.0,p50
0.3,0.01123244259365482,,0.82,3.0,p50
0.35,0.008926913325437052,,0.82,3.0,p50
0.4,0.007150142499717468,,0.82,3.0,p50
0.45,0.005721662042301209,,0.82,3.0,p50
0.5,0.004552676011187368,,0.82,3.0,p50
0.55,0.0037464922728887773,,0.82,3.0,p50
0.1,0.010215870835501784,,0.82,3.0,p05
0.15,0.008374289305955825,,0.82,3.0,p05
0.2,0.006758466402101364,,0.82,3.0,p05
0.25,0.0053884133374690404,,0.82,3.0,p05
0.3,0.004271998762555298,,0.82,3.0,p05
0.35,0.00331844032653985,,0.82,3.0,p05
0.4,0.002542087231085557,,0.82,3.0,p05
0.45,0.0019317414093389135,,0.82,3.0,p05
0.5,0.0014314088934361173,,0.82,3.0,p05
0.55,0.0010519395142962692,,0.82,3.0,p05
0.1,0.012746741912234868,,0.82,3.0,p05
0.15,0.010165472209730351,,0.82,3.0,p05
0.2,0.008232557257049787,,0.82,3.0,p05
0.25,0.00660769270222859,,0.82,3.0,p05
0.3,0.005367484396377755,,0.82,3.0,p05
0.35,0.004272132856030985,,0.82,3.0,p05
0.4,0.0034336337595251586,,0.82,3.0,p05
0.45,0.002735786139201075,,0.82,3.0,p05
0.5,0.0021666770402741804,,0.82,3.0,p05
0.55,0.0017782044694195636,,0.82,3.0,p05
0.1,0.02013247523446418,,0.82,3.0,p05
0.15,0.016564159485700003,,0.82,3.0,p05
0.2,0.013380472882762923,,0.82,3.0,p05
0.25,0.010869371588084644,,0.82,3.0,p05
0.3,0.008635095712177831,,0.82,3.0,p05
0.35,0.00669304508181964,,0.82,3.0,p05
0.4,0.005217403133029539,,0.82,3.0,p05
0.45,0.004095665499000557,,0.82,3.0,p05
0.5,0.003169740229643541,,0.82,3.0,p05
0.55,0.0025238578798245513,,0.82,3.0,p05
0.1,0.01398669177093021,,0.82,3.0,p05
0.15,0.011423721442751361,,0.82,3.0,p05
0.2,0.00931605757171013,,0.82,3.0,p05
0.25,0.007462955592516902,,0.82,3.0,p05
0.3,0.0059230972553349385,,0.82,3.0,p05
0.35,0.004652393549118261,,0.82,3.0,p05
0.4,0.0036090126718521316,,0.82,3.0,p05
0.45,0.0027459476607393,,0.82,3.0,p05
0.5,0.00209485137392684,,0.82,3.0,p05
0.55,0.0016049861276278801,,0.82,3.0,p05
0.1,0.01120923876835013,,0.82,3.0,p05
0.15,0.008818375740857988,,0.82,3.0,p05
0.2,0.006920172236602269,,0.82,3.0,p05
0.25,0.0055315857545994215,,0.82,3.0,p05
0.3,0.004430992902088226,,0.82,3.0,p05
0.35,0.00351811727410632,,0.82,3.0,p05
0.4,0.0028186624091232387,,0.82,3.0,p05
0.45,0.0022555508590246416,,0.82,3.0,p05
0.5,0.0017952864066118164,,0.82,3.0,p05
0.55,0.0014765123398559484,,0.82,3.0,p05
0.1,0.06473356909250265,,0.82,3.0,p95
0.15,0.05267338279834684,,0.82,3.0,p95
0.2,0.04223675336886294,,0.82,3.0,p95
0.25,0.033532587691051705,,0.82,3.0,p95
0.3,0.026527222494956967,,0.82,3.0,p95
0.35,0.02055956859749711,,0.82,3.0,p95
0.4,0.015711032257514957,,0.82,3.0,p95
0.45,0.011956233669343933,,0.82,3.0,p95
0.5,0.008837842959226544,,0.82,3.0,p95
0.55,0.0065038691695378835,,0.82,3.0,p95
0.1,0.0809688452065491,,0.82,3.0,p95
0.15,0.06443046435148334,,0.82,3.0,p95
0.2,0.0521541535799339,,0.82,3.0,p95
0.25,0.04159021295501298,,0.82,3.0,p95
0.3,0.03350337695994276,,0.82,3.0,p95
0.35,0.026563725183749578,,0.82,3.0,p95
0.4,0.021181649301361488,,0.82,3.0,p95
0.45,0.01684988784794888,,0.82,3.0,p95
0.5,0.01335354672595745,,0.82,3.0,p95
0.55,0.010939195532312219,,0.82,3.0,p95
0.1,0.13770062039381897,,0.82,3.0,p95
0.15,0.10935862279533921,,0.82,3.0,p95
0.2,0.08656214981154652,,0.82,3.0,p95
0.25,0.069151740023654,,0.82,3.0,p95
0.3,0.05420281466842194,,0.82,3.0,p95
0.35,0.041834614466544164,,0.82,3.0,p95
0.4,0.03246644898214057,,0.82,3.0,p95
0.45,0.02520924027406151,,0.82,3.0,p95
0.5,0.01942776668391881,,0.82,3.0,p95
0.55,0.01554737195061943,,0.82,3.0,p95
0.1,0.09155085025365144,,0.82,3.0,p95
0.15,0.07383988079734406,,0.82,3.0,p95
