name,year,p,E,baseline,Y,Ygross,damageFraction,abatementFraction,CE,temp,SSP,damage,TCRE,cost_level,r,gamma,beta,elasmu,on_utility,carbonbudget,useBaselineCO2Intensity,maxReductParam,minEmissions,p_rel
CBA SSP1 damageBurkeWithLag 0.00062 p05 0.001,2020.0,50.01739380884741,29.06900391,40.06900391,101.56064136102137,101.81529689999999,0.002501152054084149,0.0017038974579070894,145.34501955,1.186337912121,SSP1,damageBurkeWithLag,0.00062,p05,0.001,954.9607885256007,2.0,1.001,True,0,True,2.2,0,0.052376384883897814
CBA SSP1 damageBurkeWithLag 0.00062 p05 0.001,2025.0,171.13516157467305,18.06900391,41.36111898,128.13338212826812,128.76217306963778,0.004883351425185993,0.009874523992743718,235.69003909999998,1.2423518242420002,SSP1,damageBurkeWithLag,0.00062,p05,0.001,954.9607885256007,2.0,1.001,True,0,True,2.2,0,0.17920648013087004
CBA SSP1 damageBurkeWithLag 0.00062 p05 0.001,2030.0,333.6742610598832,7.135743493681788,42.653234049999995,154.52731606678427,155.45790164333334,0.005986093770158478,0.025016673809241403,271.3687565684089,1.2644726290724135,SSP1,damageBurkeWithLag,0.00062,p05,0.001,954.9607885256007,2.0,1.001,True,0,True,2.2,0,0.3494114785331188
CBA SSP1 damageBurkeWithLag 0.00062 p05 0.001,2035.0,434.8564807518557,0.01587703176141477,43.215865074999996,187.1950866235258,188.3228919040751,0.005988678642019607,0.033039409867172874,271.448141727216,1.264521847870874,SSP1,damageBurkeWithLag,0.00062,p05,0.001,954.9607885256007,2.0,1.001,True,0,True,2.2,0,0.4553657971896906
CBA SSP1 damageBurkeWithLag 0.00062 p05 0.001,2040.0,398.52043081915343,0.0,43.7784961,219.61999159203134,220.9431491102082,0.005988678642019607,0.026062655136001787,271.448141727216,1.264521847870874,SSP1,damageBurkeWithLag,0.00062,p05,0.001,954.9607885256007,2.0,1.001,True,0,True,2.2,0,0.41731601507371197
CBA SSP1 damageBurkeWithLag 0.00062 p05 0.001,2045.0,372.6934445518501,0.0,43.11662696,252.78797714176662,254.3109637789812,0.005988678642019607,0.020823578622034183,271.448141727216,1.264521847870874,SSP1,damageBurkeWithLag,0.00062,p05,0.001,954.9607885256007,2.0,1.001,True,0,True,2.2,0,0.39027093994850337
CBA SSP1 damageBurkeWithLag 0.00062 p05 0.001,2050.0,353.5623436131068,0.0,42.45475782,286.23427439676925,287.9587669139692,0.005988678642019607,0.017182368728534188,271.448141727216,1.264521847870874,SSP1,damageBurkeWithLag,0.00062,p05,0.001,954.9607885256007,2.0,1.001,True,0,True,2.2,0,0.3702375509668672
CBA SSP1 damageBurkeWithLag 0.00062 p05 0.001,2055.0,338.2574628621122,0.0,42.028343105000005,318.32632116670266,320.2441605311068,0.005988678642019607,0.014641916021240872,271.448141727216,1.264521847870874,SSP1,damageBurkeWithLag,0.00062,p05,0.001,954.9607885256007,2.0,1.001,True,0,True,2.2,0,0.3542108397815584
CBA SSP1 damageBurkeWithLag 0.00062 p05 0.001,2060.0,325.22871595863523,0.004826037888837876,41.601928390000005,350.5184702981637,352.63053833578033,0.005989464348676051,0.01265680062972953,271.4722719166602,1.2645368085883293,SSP1,damageBurkeWithLag,0.00062,p05,0.001,954.9607885256007,2.0,1.001,True,0,True,2.2,0,0.34056761268781294
CBA SSP1 damageBurkeWithLag 0.00062 p05 0.001,2065.0,314.70661044232645,0.008086053995794167,40.409729985000006,381.7926023356315,384.09362303972955,0.00599078080465822,0.010929075067934528,271.51270218663916,1.2645618753557164,SSP1,damageBurkeWithLag,0.00062,p05,0.001,954.9607885256007,2.0,1.001,True,0,True,2.2,0,0.32954924874791314
